ID;extnr;name;gruppe;einheit;inhalt;grundeinheit;mwst;dekp;vk;vkbrutto;vk1;konto_aufwand;konto_erloes;barcode;plu;mindestbestand;bestellmenge;haltbarkeit;text_etikett;kurzname;lieferant;lieferantname;lieferant_extnr;ekmwst;ek;ekbrutto;kassaartikel;produktionsstaette;produktionsdoku;beschreibung;volldeklaration;seriennummer;saisonal;bio;vegetarisch;gewicht;laenge;breite;hoehe;urprodukt;verfuegbar;jn1;jn2;jn3;jn4;shop_name;shop_name2;shop_ca_preis;shop_bestellende;shop_variantenartikel;etikett_extnr;etikett_text1;etikett_text2;etikett_text3;etikett_text4;etikett_text5;etikett_image1;etikett_image2;etikett_image3;lagerstand;lagerstand9
1634;;"FETO Natur - fermentierter Tofu 200 g Taifun";189;Stück;200,000;g;7;2,27959;2,964;3,17;0;0;0;4012359180001;0;0.000;0.000;0;;;5;NKW;10465;7;2,28000;2,44;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;8;8
1666;34009;"Filini Suppennudeln 250g";187;Stück;250,000;g;7;0,99;1,287;1,38;0;0;0;4018462142905;0;0.000;0.000;0;;;100439;LANDLINIE;34009;7;0,99000;1,06;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;7;7
3336;;"Flächendesinfektion 1l - Sonett";239;Stück;1,000;Stück;19;6,4;8,32;9,90;0;0;0;4007547303201;0;0.000;0.000;0;;;5;NKW;895166;19;6,40000;7,62;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;5;5
1996;;"Flammkuchen glutenfrei 400g";254;Stück;400,000;g;7;1,95;2,54;2,72;0;0;0;4015637009049;0;0.000;0.000;0;;;5;NKW;690942;7;1,95000;2,09;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;2;2
3221;;"Flammkuchenteig 260g";187;Stück;260,000;g;7;1,68;2,184;2,34;0;0;0;;0;0.000;0.000;0;;;100439;LANDLINIE;18863;7;1,68000;1,80;1;0;0;;;0;0000-00-00;0;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2852;;"FLAPJACK Salz-Karamell-Riegel 50g";166;Stück;50,000;g;7;0,27;0,7;0,75;0;0;0;4016249074722;0;0.000;0.000;0;;;5;NKW;574847;7;0,27000;0,29;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2638;230665;"Fleischwurst - kg";272;kg;0,000;kg;7;14,9;19,37;20,73;0;0;0;;0;0.000;0.000;0;;;100622;"Kapplermühle Biohof";230665;7;14,90000;15,94;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2946;;"Flohsamenschalen Premium 250g - Govinda";263;Stück;250,000;g;19;5,61;7,29;8,68;0;0;0;4038507000809;0;0.000;0.000;0;;;5;NKW;602955;19;5,61000;6,68;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;8;8
2615;;"Flotte Früchtchen vegan DLS 508";31;Stück;1,000;Stück;7;2,63;3,41;3,65;0;0;0;;0;0.000;0.000;0;;;100529;DLS;;7;2,63000;2,81;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;1;1
2390;;"Flower Power Brot 500g vegan DLS 268";31;Stück;500,000;g;7;3,3;4,29;4,59;0;0;0;;0;0.000;0.000;0;;;100529;DLS;268;7;3,30000;3,53;1;0;0;;;0;0000-00-00;1;0;0.00000;0.00000;0.00000;0.00000;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0
